,text,user
180,"RT @Amaka_Ekwo: @realDonaldTrump In 2017, the Nigerian army police killed some of us for supporting you.  #IPOB #Biafra  #SelfDetermination…",igbomadam
181,RT @poemspice: @realDonaldTrump @thanksall_ 눈물을 가슴에. 전쟁에서 돌아가신 모든 생명에 기도를 바칩니다. 전쟁은 계속되고 있다. 전쟁은 끝나지 않았다. 깊은 슬픔을 알고 우리가 바다를 넘어 마음의 손을 잡는 것은…,poemspice
182,"RT @jasonbaum: @realDonaldTrump   You’re a fraud, a fake, a crook and a cheat. A sad failure going down in defeat. A lying loser, a bigot w…",nursevictoria11
183,RT @Anagram2112: @realDonaldTrump See this?  This is my cousin. He died in Vietnam. He’s now at rest on hallowed ground. Some say he died i…,Cherfan4ever1
184,@realDonaldTrump  ちゃんとごはん食べてるか、トランプ。,Call_of_HiRoShi
185,@realDonaldTrump  チキンナゲット食べたいからポテナゲ買ってきてくれよトランプ。,Call_of_HiRoShi
186,@realdonaldtrump  #diaperdon,KtownNearOz
187,@RealDonaldTrump told me that he's afraid to ever tell a general 'no.' https://t.co/LGqheRArH0,LibelTrump
188,RT @modernhomesla: @realDonaldTrump @WhiteHouse Did you say briefs or tighty whities?😂😂😂 #StormyAffair  #TrumpShutdown #MarriedToTheMob #Do…,modernhomesla
189,@realDonaldTrump そういえば、子役出身者って結構大学行ってるけどアイドル出身の声優って言ってる人居たっけ？矢野さんくらい？,emesh
190,@realDonaldTrump　ペイ子って余りプライベート聞いたこと無いけど、大学行かないんですかね？行くようなそぶりじゃないんですけど。大きなお世話だろうが、行けたら行った方が良いとは思うんですかねえ。,emesh
191,@realDonaldTrump ……そうだ。ムネオハウス保存事業、再開しないとなあ。,kurumigi
192,@realDonaldTrump リーの恋愛タイプ測定テスト LETS-2 https://t.co/conT3mQCSZ # 恋愛型診断　フィリベール,Kokoa_Anko
193,@realdonaldtrump うわーーーー👏👏👏✨✨✨✨✨,gori_moon02
194,@realDonaldTrump リーの恋愛タイプ測定テスト LETS-2 https://t.co/WtSPkg3IQI # 恋愛型診断　シャルロット,Kokoa_Anko
195,"RT @jasonbaum: @realDonaldTrump   You’re a fraud, a fake, a crook and a cheat. A sad failure going down in defeat. A lying loser, a bigot w…",PeterPa38315071
196,@realDonaldTrump リーの恋愛タイプ測定テスト LETS-2 https://t.co/wFccCSI4nT  # 恋愛型診断　ユーゴ,Kokoa_Anko
197,"@RealDonaldTrump #fact : 2015 - 'When Mexico sends its people, they're not sending their best...They're sending peo… https://t.co/n3uKm7U1zX",SwerianBot
198,RT @uflo5: @realDonaldTrump Happy Fuck trump DAY folks 👍 🐿️ 🐹 😎 https://t.co/Gq8A7gLVJv,uflo5
199,@RealDonaldTrump wants to give himself tax cuts @FoxNews,LibelTrump
200,@realDonaldTrump MAGA ON BABY!🇺🇸🇺🇸🇺🇸🤣,MichaelPArcher1
201,"RT @jasonbaum: @realDonaldTrump   You’re a fraud, a fake, a crook and a cheat. A sad failure going down in defeat. A lying loser, a bigot w…",RonaMurdoch
202,@realdonaldtrump 5A171CE7 :参戦ID 参加者募集！ Lv150 プロトバハムート https://t.co/PHfos66tMq,darkebiru
203,@RealDonaldTrump would rather fight with CNN than help veterans https://t.co/LGqheRArH0,LibelTrump
204,@realdonaldtrump あーそうそうこれこれ✨✨✨✨✨,gori_moon02
205,"RT @jasonbaum: @realDonaldTrump   You’re a fraud, a fake, a crook and a cheat. A sad failure going down in defeat. A lying loser, a bigot w…",caspian5690
206,RT @swoffer: @realDonaldTrump https://t.co/deXld2ZBbE,von67trumpet
207,@realDonaldTrump バグパイプ 中野二乃 桐生ココ ケオべ マヤノトップガン ソラ スマートファルコン アーミヤ アドマイヤベガ アレーン ジガルデ ウタゲ レジギガス ソーンズ バチンウニ ケルシー モンスターエナジー,2Seattle
208,"RT @jasonbaum: @realDonaldTrump   You’re a fraud, a fake, a crook and a cheat. A sad failure going down in defeat. A lying loser, a bigot w…",jasonbaum
209,RT @wandaransom: @realDonaldTrump @KatrinaPierson your association with @realDonaldTrump is a disgrace to our family #TheEnd Your father an…,Djawms42J
210,@realDonaldTrump @POTUS Is the US great again?,IsItGreatYetBot
